Number;Dutch;in English
1;als;as
2;zijn;his
3;dat;that
4;hij;he
5;was;was
6;voor;for
7;op;on
8;zijn;are
9;met;with
10;ze;they
11;zijn;be
12;bij;at
13;een;one
14;hebben;have
15;deze;this
16;van;from
17;door;by
18;heet;hot
19;woord;word
20;maar;but
21;wat;what
22;sommige;some
23;is;is
24;het;it
25;u;you
26;of;or
27;had;had
28;de;the
29;van;of
30;aan;to
31;en;and
32;een;a
33;in;in
34;we;we
35;kan;can
36;uit;out
37;andere;other
38;waren;were
39;die;which
40;doen;do
41;hun;their
42;tijd;time
43;indien;if
44;zal;will
45;hoe;how
46;zei;said
47;een;an
48;elk;each
49;vertellen;tell
50;doet;does
51;set;set
52;drie;three
53;willen;want
54;lucht;air
55;goed;well
56;ook;also
57;spelen;play
58;klein;small
59;end;end
60;zetten;put
61;thuis;home
62;lezen;read
63;de hand;hand
64;poort;port
65;grote;large
66;spell;spell
67;toevoegen;add
68;zelfs;even
69;land;land
70;hier;here
71;moet;must
72;grote;big
73;hoog;high
74;dergelijke;such
75;volgen;follow
76;act;act
77;waarom;why
78;vragen;ask
79;mannen;men
80;verandering;change
81;ging;went
82;licht;light
83;soort;kind
84;uitgeschakeld;off
85;nodig hebben;need
86;huis;house
87;afbeelding;picture
88;proberen;try
89;ons;us
90;weer;again
91;dier;animal
92;punt;point
93;moeder;mother
94;wereld;world
95;dichtbij;near
96;bouwen;build
97;zelf;self
98;aarde;earth
99;vader;father
100;een;any
101;nieuwe;new
102;werk;work
103;deel;part
104;nemen;take
105;krijgen;get
106;plaats;place
107;gemaakt;made
108;wonen;live
109;waar;where
110;na;after
111;terug;back
112;weinig;little
113;alleen;only
114;ronde;round
115;man;man
116;jaar;year
117;kwam;came
118;Show;show
119;elke;every
120;goed;good
121;mij;me
122;geven;give
123;onze;our
124;onder;under
125;naam;name
126;zeer;very
127;door;through
128;gewoon;just
129;vorm;form
130;zin;sentence
131;grote;great
132;denken;think
133;zeggen;say
134;helpen;help
135;laag;low
136;lijn;line
137;verschillen;differ
138;beurt;turn
139;oorzaak;cause
140;veel;much
141;betekenen;mean
142;voor;before
143;verhuizing;move
144;rechts;right
145;jongen;boy
146;oude;old
147;ook;too
148;hetzelfde;same
149;ze;she
150;alle;all
151;er;there
152;wanneer;when
153;omhoog;up
154;gebruiken;use
155;uw;your
156;manier;way
157;over;about
158;veel;many
159;dan;then
160;hen;them
161;schrijven;write
162;zou;would
163;zoals;like
164;dus;so
165;deze;these
166;haar;her
167;lang;long
168;maken;make
169;ding;thing
170;zien;see
171;hem;him
172;twee;two
173;heeft;has
174;kijken;look
175;meer;more
176;dag;day
177;kon;could
178;gaan;go
179;komen;come
180;deed;did
181;aantal;number
182;klinken;sound
183;geen;no
184;meest;most
185;mensen;people
186;mijn;my
187;meer dan;over
188;weten;know
189;water;water
190;dan;than
191;roep;call
192;eerste;first
193;die;who
194;kan;may
195;naar beneden;down
196;kant;side
197;geweest;been
198;nu;now
199;vinden;find
200;hoofd;head
201;staan;stand
202;eigen;own
203;pagina;page
204;moeten;should
205;land;country
206;gevonden;found
207;antwoord;answer
208;de school;school
209;groeien;grow
210;studie;study
211;nog;still
212;leren;learn
213;planten;plant
214;afdekking;cover
215;voedsel;food
216;zon;sun
217;vier;four
218;tussen;between
219;staat;state
220;houden;keep
221;oog;eye
222;nooit;never
223;laatste;last
224;laten;let
225;gedachte;thought
226;stad;city
227;boom;tree
228;oversteken;cross
229;boerderij;farm
230;hard;hard
231;begin;start
232;zou;might
233;verhaal;story
234;zaag;saw
235;ver;far
236;zee;sea
237;tekenen;draw
238;links;left
239;laat;late
240;lopen;run
241;niet;don’t
242;terwijl;while
243;pers;press
244;dicht;close
245;nacht;night
246;echt;real
247;leven;life
248;weinig;few
249;noorden;north
250;boek;book
251;dragen;carry
252;nam;took
253;wetenschap;science
254;eet;eat
255;kamer;room
256;vriend;friend
257;begon;began
258;idee;idea
259;vis;fish
260;berg;mountain
261;stop;stop
262;eenmaal;once
263;base;base
264;hear;hear
265;paard;horse
266;gesneden;cut
267;zeker;sure
268;kijken;watch
269;kleur;color
270;gezicht;face
271;hout;wood
272;belangrijkste;main
273;geopend;open
274;lijken;seem
275;samen;together
276;volgende;next
277;wit;white
278;kinderen;children
279;beginnen;begin
280;kreeg;got
281;lopen;walk
282;voorbeeld;example
283;gemak;ease
284;papier;paper
285;groep;group
286;altijd;always
287;muziek;music
288;die;those
289;beide;both
290;mark;mark
291;vaak;often
292;brief;letter
293;tot;until
294;mijl;mile
295;rivier;river
296;auto;car
297;voeten;feet
298;zorg;care
299;tweede;second
300;genoeg;enough
301;vlakte;plain
302;meisje;girl
303;gebruikelijke;usual
304;jonge;young
305;klaar;ready
306;boven;above
307;ooit;ever
308;rood;red
309;lijst;list
310;hoewel;though
311;voelen;feel
312;Overleg;talk
313;vogel;bird
314;spoedig;soon
315;lichaam;body
316;hond;dog
317;familie;family
318;rechtstreeks;direct
319;pose;pose
320;vertrekken;leave
321;lied;song
322;meten;measure
323;deur;door
324;artikel;product
325;zwart;black
326;korte;short
327;cijfer;numeral
328;klasse;class
329;wind;wind
330;vraag;question
331;gebeuren;happen
332;compleet;complete
333;schip;ship
334;gebied;area
335;helft;half
336;rots;rock
337;orde;order
338;brand;fire
339;zuiden;south
340;probleem;problem
341;stuk;piece
342;vertelde;told
343;wist;knew
344;passeren;pass
345;sinds;since
346;boven;top
347;geheel;whole
348;king;king
349;straat;street
350;inch;inch
351;vermenigvuldigen;multiply
352;niets;nothing
353;cursus;course
354;blijven;stay
355;wiel;wheel
356;volledige;full
357;kracht;force
358;blauw;blue
359;object;object
360;beslissen;decide
361;oppervlak;surface
362;diepe;deep
363;maan;moon
364;eiland;island
365;voet;foot
366;systeem;system
367;drukke;busy
368;toets;test
369;opnemen;record
370;boot;boat
371;gemeenschappelijke;common
372;goud;gold
373;mogelijk;possible
374;vliegtuig;plane
375;plaats;stead
376;droge;dry
377;afvragen;wonder
378;lachen;laugh
379;duizend;thousand
380;geleden;ago
381;ran;ran
382;controleren;check
383;spel;game
384;vorm;shape
385;gelijk;equate
386;heet;hot
387;miss;miss
388;bracht;brought
389;warmte;heat
390;sneeuw;snow
391;band;tire
392;brengen;bring
393;ja;yes
394;verre;distant
395;vullen;fill
396;oosten;east
397;schilderen;paint
398;taal;language
399;onder;among
400;eenheid;unit
401;kracht;power
402;stad;town
403;fijne;fine
404;bepaalde;certain
405;vliegen;fly
406;vallen;fall
407;leiden;lead
408;huilen;cry
409;donker;dark
410;apparaat;machine
411;noot;note
412;wachten;wait
413;plannen;plan
414;figuur;figure
415;ster;star
416;doos;box
417;zelfstandig naamwoord;noun
418;veld;field
419;rest;rest
420;juist;correct
421;in staat;able
422;pond;pound
423;gedaan;done
424;schoonheid;beauty
425;rijden;drive
426;stond;stood
427;bevatten;contain
428;voorzijde;front
429;leren;teach
430;week;week
431;finale;final
432;gaf;gave
433;groen;green
434;oh;oh
435;snel;quick
436;ontwikkelen;develop
437;oceaan;ocean
438;warme;warm
439;gratis;free
440;minuut;minute
441;sterke;strong
442;speciaal;special
443;geest;mind
444;achter;behind
445;duidelijk;clear
446;staart;tail
447;produceren;produce
448;feit;fact
449;ruimte;space
450;gehoord;heard
451;best;best
452;uur;hour
453;beter;better
454;ware;true
455;tijdens;during
456;honderd;hundred
457;vijf;five
458;onthouden;remember
459;stap;step
460;vroeg;early
461;houden;hold
462;west;west
463;grond;ground
464;rente;interest
465;bereiken;reach
466;snel;fast
467;werkwoord;verb
468;zingen;sing
469;luisteren;listen
470;zes;six
471;tafel;table
472;reizen;travel
473;minder;less
474;ochtend;morning
475;tien;ten
476;eenvoudig;simple
477;verscheidene;several
478;klinker;vowel
479;in de richting van;toward
480;oorlog;war
481;leggen;lay
482;tegen;against
483;patroon;pattern
484;langzaam;slow
485;centrum;center
486;liefde;love
487;persoon;person
488;geld;money
489;dienen;serve
490;verschijnen;appear
491;weg;road
492;kaart;map
493;regen;rain
494;regel;rule
495;regeren;govern
496;trek;pull
497;koude;cold
498;kennisgeving;notice
499;stem;voice
500;energie;energy
501;hunt;hunt
502;waarschijnlijk;probable
503;bedden;bed
504;broer;brother
505;ei;egg
506;rit;ride
507;cel;cell
508;geloven;believe
509;misschien;perhaps
510;pick;pick
511;plotseling;sudden
512;tellen;count
513;square;square
514;reden;reason
515;lengte;length
516;vertegenwoordigen;represent
517;kunst;art
518;onderwerp;subject
519;regio;region
520;grootte;size
521;variëren;vary
522;vestigen;settle
523;spreken;speak
524;gewicht;weight
525;algemeen;general
526;ijs;ice
527;aangelegenheid;matter
528;cirkel;circle
529;paar;pair
530;omvatten;include
531;kloof;divide
532;lettergreep;syllable
533;vilt;felt
534;grand;grand
535;bal;ball
536;nog;yet
537;wave;wave
538;laten vallen;drop
539;hart;heart
540;ben;am
541;aanwezig;present
542;zwaar;heavy
543;dans;dance
544;motor;engine
545;positie;position
546;arm;arm
547;breed;wide
548;zeil;sail
549;materiaal;material
550;fractie;fraction
551;bos;forest
552;zitten;sit
553;ras;race
554;venster;window
555;winkel;store
556;zomer;summer
557;trein;train
558;slaap;sleep
559;bewijzen;prove
560;eenzame;lone
561;been;leg
562;oefening;exercise
563;muur;wall
564;vangst;catch
565;berg;mount
566;wensen;wish
567;hemel;sky
568;boord;board
569;vreugde;joy
570;de winter;winter
571;zat;sat
572;geschreven;written
573;wild;wild
574;instrument;instrument
575;gehouden;kept
576;glas;glass
577;gras;grass
578;koe;cow
579;werk;job
580;edge;edge
581;teken;sign
582;bezoek;visit
583;verleden;past
584;zachte;soft
585;lol;fun
586;heldere;bright
587;gas;gas
588;weer;weather
589;maand;month
590;miljoen;million
591;dragen;bear
592;afwerking;finish
593;happy;happy
594;hopen;hope
595;bloem;flower
596;kleden;clothe
597;vreemd;strange
598;weg;gone
599;handel;trade
600;melodie;melody
601;reis;trip
602;kantoor;office
603;ontvangen;receive
604;rij;row
605;mond;mouth
606;exacte;exact
607;symbool;symbol
608;sterven;die
609;minste;least
610;problemen;trouble
611;schreeuw;shout
612;behalve;except
613;schreef;wrote
614;zaad;seed
615;toon;tone
616;toetreden tot;join
617;suggereren;suggest
618;schoon;clean
619;break;break
620;dame;lady
621;yard;yard
622;stijgen;rise
623;slecht;bad
624;klap;blow
625;olie;oil
626;bloed;blood
627;aanraken;touch
628;groeide;grew
629;procent;cent
630;mengen;mix
631;team;team
632;draad;wire
633;kosten;cost
634;verloren;lost
635;bruin;brown
636;dragen;wear
637;tuin;garden
638;gelijk;equal
639;verzonden;sent
640;kiezen;choose
641;viel;fell
642;passen;fit
643;stromen;flow
644;eerlijk;fair
645;bank;bank
646;verzamelen;collect
647;besparen;save
648;controle;control
649;decimaal;decimal
650;oor;ear
651;anders;else
652;heel;quite
653;brak;broke
654;geval;case
655;midden;middle
656;doden;kill
657;zoon;son
658;meer;lake
659;momenteel;moment
660;schaal;scale
661;luid;loud
662;voorjaar;spring
663;waarnemen;observe
664;kind;child
665;straight;straight
666;medeklinker;consonant
667;natie;nation
668;woordenboek;dictionary
669;melk;milk
670;snelheid;speed
671;methode;method
672;orgel;organ
673;betalen;pay
674;leeftijd;age
675;sectie;section
676;kleding;dress
677;wolk;cloud
678;verrassing;surprise
679;rustig;quiet
680;steen;stone
681;minuscuul;tiny
682;klimmen;climb
683;koele;cool
684;ontwerp;design
685;slechte;poor
686;veel;lot
687;experiment;experiment
688;onderzijde;bottom
689;sleutel;key
690;ijzer;iron
691;enkelvoudige;single
692;stok;stick
693;flat;flat
694;twintig;twenty
695;huid;skin
696;glimlach;smile
697;vouw;crease
698;gat;hole
699;springen;jump
700;kindje;baby
701;acht;eight
702;dorp;village
703;ontmoeten;meet
704;wortel;root
705;kopen;buy
706;verhogen;raise
707;op te lossen;solve
708;metalen;metal
709;of;whether
710;duw;push
711;zeven;seven
712;paragraaf;paragraph
713;derde;third
714;zal;shall
715;gehouden;held
716;haar;hair
717;beschrijven;describe
718;kok;cook
719;vloer;floor
720;ofwel;either
721;resultaat;result
722;verbranden;burn
723;hill;hill
724;veilig;safe
725;kat;cat
726;eeuw;century
727;overwegen;consider
728;soort;type
729;wet;law
730;beetje;bit
731;kust;coast
732;kopie;copy
733;zinsnede;phrase
734;stil;silent
735;hoog;tall
736;zand;sand
737;bodem;soil
738;rol;roll
739;temperatuur;temperature
740;vinger;finger
741;industrie;industry
742;waarde;value
743;strijd;fight
744;leugen;lie
745;verslaan;beat
746;excite;excite
747;natuurlijke;natural
748;view;view
749;sense;sense
750;hoofdstad;capital
751;zal niet;won’t
752;stoel;chair
753;gevaar;danger
754;fruit;fruit
755;rijk;rich
756;dikke;thick
757;soldaat;soldier
758;proces;process
759;werken;operate
760;praktijk;practice
761;apart;separate
762;moeilijk;difficult
763;arts;doctor
764;aub;please
765;beschermen;protect
766;middag;noon
767;gewas;crop
768;moderne;modern
769;onderdeel;element
770;hit;hit
771;leerling;student
772;hoek;corner
773;partij;party
774;levering;supply
775;wiens;whose
776;lokaliseren;locate
777;kookplaten;ring
778;karakter;character
779;insecten;insect
780;gevangen;caught
781;periode;period
782;geven;indicate
783;radio In;radio
784;sprak;spoke
785;atoom;atom
786;menselijk;human
787;geschiedenis;history
788;werking;effect
789;elektrische;electric
790;verwachten;expect
791;bot;bone
792;spoor;rail
793;stel;imagine
794;bieden;provide
795;instemmen;agree
796;dus;thus
797;zachte;gentle
798;vrouw;woman
799;kapitein;captain
800;denk;guess
801;noodzakelijk;necessary
802;scherpe;sharp
803;vleugel;wing
804;creëren;create
805;buurman;neighbor
806;wassen;wash
807;vleermuis;bat
808;eerder;rather
809;menigte;crowd
810;maïs;corn
811;vergelijken;compare
812;gedicht;poem
813;koord;string
814;bell;bell
815;afhangen;depend
816;vlees;meat
817;wrijven;rub
818;buis;tube
819;beroemde;famous
820;deas;dollar
821;stroom;stream
822;angst;fear
823;zicht;sight
824;dun;thin
825;driehoek;triangle
826;planeet;planet
827;haast;hurry
828;chief;chief
829;kolonie;colony
830;klok;clock
831;de mijne;mine
832;stropdas;tie
833;voeren;enter
834;grote;major
835;vers;fresh
836;zoeken;search
837;sturen;send
838;geel;yellow
839;pistool;gun
840;toelaten;allow
841;afdrukken;print
842;dood;dead
843;plek;spot
844;woestijn;desert
845;pak;suit
846;huidige;current
847;lift;lift
848;gestegen;rose
849;aankomen;arrive
850;meester;master
851;spoor;track
852;ouder;parent
853;oever;shore
854;divisie;division
855;blad;sheet
856;stof;substance
857;gunst;favor
858;aansluiten;connect
859;post;post
860;besteden;spend
861;akkoord;chord
862;vet;fat
863;blij;glad
864;origineel;original
865;aandeel;share
866;station;station
867;dad;dad
868;brood;bread
869;rekenen;charge
870;behoorlijk;proper
871;bar;bar
872;aanbod;offer
873;segmenten;segment
874;slaaf;slave
875;eend;duck
876;onmiddellijke;instant
877;markt;market
878;graad;degree
879;bevolken;populate
880;kuiken;chick
881;lieve;dear
882;vijand;enemy
883;antwoorden;reply
884;drankje;drink
885;voorkomen;occur
886;ondersteuning;support
887;spraak;speech
888;natuur;nature
889;reeks;range
890;stoom;steam
891;beweging;motion
892;pad;path
893;vloeistof;liquid
894;aanmelden;log
895;betekende;meant
896;quotiënt;quotient
897;tanden;teeth
898;schelp;shell
899;nek;neck
900;zuurstof;oxygen
901;suiker;sugar
902;dood;death
903;vrij;pretty
904;vaardigheid;skill
905;vrouwen;women
906;seizoen;season
907;oplossing;solution
908;magneet;magnet
909;zilver;silver
910;dank;thank
911;tak;branch
912;wedstrijd;match
913;achtervoegsel;suffix
914;vooral;especially
915;vijg;fig
916;bang;afraid
917;reusachtig;huge
918;zus;sister
919;staal;steel
920;bespreken;discuss
921;vooruit;forward
922;gelijkaardige;similar
923;begeleiden;guide
924;ervaring;experience
925;partituur;score
926;appel;apple
927;gekocht;bought
928;geleid;led
929;toonhoogte;pitch
930;coat;coat
931;massa;mass
932;kaart;card
933;band;band
934;touw;rope
935;slip;slip
936;win;win
937;dromen;dream
938;avond;evening
939;voorwaarde;condition
940;voer;feed
941;gereedschap;tool
942;totaal;total
943;elementaire;basic
944;geur;smell
945;dal;valley
946;noch;nor
947;dubbel;double
948;zitje;seat
949;blijven;continue
950;blokkeren;block
951;grafiek;chart
952;hoed;hat
953;verkopen;sell
954;succes;success
955;bedrijf;company
956;aftrekken;subtract
957;evenement;event
958;bijzonder;particular
959;deal;deal
960;zwemmen;swim
961;termijn;term
962;tegengesteld;opposite
963;vrouw;wife
964;schoen;shoe
965;schouder;shoulder
966;spreiding;spread
967;regelen;arrange
968;kamp;camp
969;uitvinden;invent
970;katoen;cotton
971;geboren;born
972;bepalen;determine
973;quart;quart
974;negen;nine
975;vrachtwagen;truck
976;geluidsoverlast;noise
977;niveau;level
978;kans;chance
979;verzamelen;gather
980;winkel;shop
981;rekken;stretch
982;gooien;throw
983;glans;shine
984;pand;property
985;column;column
986;molecuul;molecule
987;selecteren;select
988;mis;wrong
989;grijs;gray
990;herhaal;repeat
991;vereisen;require
992;brede;broad
993;bereiden;prepare
994;zout;salt
995;neus;nose
996;meervoud;plural
997;woede;anger
998;vordering;claim
999;werelddeel;continent
